ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus
ASV_1767,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
ASV_17670,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,NA,NA
ASV_17674,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,NA
ASV_17676,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium
ASV_17682,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_17686,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aliisedimentitalea
ASV_17693,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum
ASV_17698,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,NA,NA
ASV_177,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV_17700,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,NA
ASV_17711,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV_17719,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,NA,NA
ASV_17720,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,NA
